ALFA BESSANG PASS TRAINING SCHEDULE,,,,,,,
,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,01-06 JUNE 2026,,,,,,
,,5KM RUN,UPPER BODY STRENGTHENING,LOWER BODY STRENGTHENING,5KM RUN,REST,Weight Training
,KNOT TYING,,,,,,
,07-13 JUNE 2026,,,,,,
,Uphill Running w/ Rucksack,UPPER BODY STRENGTHENING,LOWER BODY STRENGTHENING,Uphill Running w/ Rucksack,UPPERBODY STRENGTHENING,REST,LOWER BODY STRENGTHENING
,WEAPONS,,,,,,
,14-20 JUNE 2026,,,,,,
,7.5KM RUCKSACK RUN,HIIT EXERCISES,UPPER BODY STRENTHENING,LOWER BODY STRENGTHENING,8KM RUN,REST,Weight Training
,OCR,,,,,,
,21-27 JUNE 2026,,,,,,
,Swimming,10KM RUCKSACK RUN,UPPER BODY STRENTHENING,LOWER BODY STRENGTHENING,10KM RUCKSACK RUN,REST,Weight Training
,GRENADE THROWING,,,,,,
,28-30 JUNE TO 01-04 JULY 2026,,,,,,
,10KM RUCKSACK RUN,Weight Training,UPPER BODY STRENTHENING,LOWER BODY STRENGTHENING,10KM RUCKSACK RUN,REST,Weight Training
,OOMR,,,,,,
,05-11 JULY 2026,,,,,,
,Swimming,UPPER BODY STRENGTHENING,LOWER BODY STRENGTHENING,10KM RUCKSACK RUN,UPPERBODY STRENGTHENING,REST,LOWER BODY STRENGTHENING
,SIGNAL AND COMMUNICATIONS,,,,,,
,12-18 JULY 2026,,,,,,
,10KM RUCKSACK RUN,HIIT EXERCISES,UPPER BODY STRENTHENING,LOWER BODY STRENGTHENING,10KM RUCKSACK RUN,REST,Weight Training
,CBRN,,,,,,
,19-25 JULY 2026,,,,,,
,FFT,10KM RUCKSACK RUN,UPPER BODY STRENTHENING,LOWER BODY STRENGTHENING,10KM RUCKSACK RUN,REST,Weight Training
,KNOT TYING,,,,,,
,26-31 JULY 2026 TO 01 AUGUST 2026,,,,,,
,10KM RUCKSACK RUN,UPPER BODY STRENGTHENING,LOWER BODY STRENGTHENING,10KM RUCKSACK RUN,UPPERBODY STRENGTHENING,REST,LOWER BODY STRENGTHENING
,WEAPONS,,,,,,
,02-08 AUGUST 2026,,,,,,
,Swimming,HIIT EXERCISES,UPPER BODY STRENTHENING,LOWER BODY STRENGTHENING,10KM RUCKSACK RUN,REST,HIIT EXERCISES
,GRENADE THROWING,,,,,,
,09-15 AUGUST 2026,,,,,,
,10KM RUCKSACK RUN,UPPER BODY STRENGTHENING,LOWER BODY STRENGTHENING,10KM RUCKSACK RUN,UPPERBODY STRENGTHENING,REST,LOWER BODY STRENGTHENING
,OCR,,,,,,
,16-22 AUGUST 2026,,,,,,
,Swimming,Weight Training,UPPER BODY STRENTHENING,LOWER BODY STRENGTHENING,10KM RUCKSACK RUN,REST,REST
,OOMR,,,,,,
,23-29 AUGUST 2026,,,,,,
,21KM RUN,REST,UPPER BODY STRENTHENING,LOWER BODY STRENGTHENING,HIIT EXERCISES,REST,12KM RUCKSACK RUN
,LAND NAVIGATION,,,,,,
,30-31 AUGUST 2026 TO 01-05 SEPTEMBER 2026,,,,,,
,UE WEEK,,,,,,
,06-12 SEPTEMBER 2026,,,,,,
,FINALS WEEK,,,,,,
,13-19 SEPTEMBER 2026,,,,,,
,10KM RUCKSACK RUN,UPPER BODY STRENGTHENING,LOWER BODY STRENGTHENING,10KM RUCKSACK RUN,Weight Training,REST,Swimming
,TC3,,,,,,
,20-26 SEPTEMBER 2026,,,,,,
,RUCKSACK MARCH,Weight Training,UPPER BODY STRENTHENING,LOWER BODY STRENGTHENING,10KM RUCKSACK RUN,REST,Weight Training
,SIGNAL AND COMMUNICATIONS,,,,,,
